357549.477,"[-58, -58, -58, -64]","[[30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B166', 'B167', 'B071', 'B072']"
357549.677,"[-60, -54, -66, -66]","[[30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B166', 'B167', 'B071', 'B072']"
357549.877,"[-54, -62, -61, -61]","[[30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46202469, 114.467986, 23.54725921]]","['B167', 'B166', 'B072', 'B071']"
357550.072,"[-59, -64, -66, -72]","[[30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46202469, 114.467986, 23.54725921]]","['B167', 'B166', 'B072', 'B071']"
357550.272,"[-51, -65, -65, -68]","[[30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46202469, 114.467986, 23.54725921]]","['B167', 'B166', 'B072', 'B071']"
357550.472,"[-55, -63, -68, -64]","[[30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46237862, 114.4677565, 23.54725921]]","['B167', 'B166', 'B072', 'B168']"
357550.672,"[-50, -58, -63, -63]","[[30.46220165, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46237862, 114.4677565, 23.54725921]]","['B167', 'B072', 'B166', 'B168']"
357550.872,"[-56, -63, -66, -59]","[[30.46220165, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46237862, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921]]","['B167', 'B072', 'B168', 'B166']"
357551.067,"[-60, -63, -66, -60]","[[30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46202469, 114.4677565, 23.54725921]]","['B167', 'B168', 'B072', 'B166']"
357551.267,"[-53, -63, -62, -65]","[[30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46237862, 114.467986, 23.54725921]]","['B167', 'B168', 'B072', 'B073']"
357551.467,"[-55, -58, -66, -64]","[[30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46237862, 114.467986, 23.54725921]]","['B167', 'B168', 'B072', 'B073']"
357551.667,"[-60, -65, -66, -60]","[[30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.467986, 23.54725921], [30.46237862, 114.467986, 23.54725921]]","['B167', 'B168', 'B072', 'B073']"
357551.867,"[-59, -65, -66, -65]","[[30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B168', 'B167', 'B073', 'B072']"
357552.062,"[-54, -57, -65, -63]","[[30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B168', 'B167', 'B073', 'B072']"
357552.262,"[-50, -66, -67, -70]","[[30.46237862, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46237862, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B168', 'B167', 'B073', 'B072']"
